Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
ADMINISTRACAO;"EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"PREVIDENCIA ESPECIAL";196.808.909,95;196.808.909,95;196.808.909,95
"GESTAO AMBIENTAL";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"PRESERVACAO E CONSERVACAO AMBIENTAL";9.566.295,23;9.532.118,63;9.395.816,55
URBANISMO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"SERVICOS URBANOS";468.599,43;468.599,43;468.599,43
"DIREITOS DA CIDADANIA";"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";4.559.286,06;4.483.200,55;4.412.864,77
SAUDE;"FUNDO ESTADUAL DE SAUDE";"SUPORTE PROFILATICO E TERAPEUTICO";779.496.702,88;710.160.214,65;709.724.626,67
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"RECUPERACAO DE AREAS DEGRADADAS";12.964.017,73;12.518.868,80;11.996.120,05
SAUDE;"FUNDO ESTADUAL DE SAUDE";"VIGILANCIA SANITARIA";175.608.712,81;173.995.175,56;173.177.745,52
"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"TRANSPORTE AEREO";8.676.057,59;8.515.728,69;7.761.505,80
"ENCARGOS ESPECIAIS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";89.593.007,35;89.586.597,35;84.022.874,07
"ENCARGOS ESPECIAIS";"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"OUTROS ENCARGOS ESPECIAIS";24.401,82;24.401,82;19.887,75
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"INFORMACAO E INTELIGENCIA";25.656.431,90;24.885.422,23;24.676.596,78
URBANISMO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"ORDENAMENTO TERRITORIAL";8.166.902,27;6.051.084,16;6.040.110,01
